datetime,open,high,low,close,volume
2025-08-05,3378.97,3393.62,3353.8,3379.58,0
2025-08-06,3379.59,3385.25,3362.51,3371.53,0
2025-08-07,3371.54,3394.98,3368.36,3389.29,0
2025-08-08,3389.03,3397.81,3375.19,3387.21,0
2025-08-09,3387.21,3393.8,3375.0,3389.32,0
2025-08-11,3386.51,3391.7,3339.63,3344.13,0
2025-08-12,3344.14,3357.52,3332.0,3342.47,0
2025-08-13,3342.52,3358.6,3335.55,3350.8,0
2025-08-14,3350.8,3361.0,3324.39,3330.23,0
2025-08-15,3330.23,3341.09,3326.01,3329.36,0
2025-08-16,3329.35,3336.01,3327.21,3331.25,0
2025-08-18,3330.09,3380.0,3322.0,3331.75,0
2025-08-19,3331.76,3342.06,3308.01,3314.82,0
2025-08-20,3314.84,3339.91,3301.77,3339.88,0
2025-08-21,3339.88,3342.56,3318.25,3332.14,0
2025-08-22,3332.13,3363.43,3318.28,3363.42,0
2025-08-23,3363.43,3366.18,3345.51,3359.72,0
2025-08-25,3358.02,3366.68994,3349.12,3349.54,0
2025-08-26,3349.54,3379.98,3336.0,3379.95,0
2025-08-27,3379.9,3388.82,3365.0,3388.82,0
2025-08-28,3388.81,3423.25,3378.0,3419.78,0
2025-08-29,3419.77,3464.7,3407.8,3455.59,0
2025-08-30,3455.6,3466.73,3451.04,3463.81,0
2025-09-01,3467.33,3502.0,3451.13,3490.83,0
2025-09-02,3490.82,3556.69,3486.35,3550.4,0
2025-09-03,3550.4,3587.5,3542.4,3573.33,0
2025-09-04,3573.33,3578.25,3527.55,3553.16,0
2025-09-05,3553.16,3599.1,3548.64,3590.01,0
2025-09-06,3590.0,3611.68,3590.0,3606.64,0
2025-09-08,3609.59,3649.32,3588.12,3641.18,0
2025-09-09,3641.12,3681.7,3633.36,3638.7,0
2025-09-10,3638.48,3664.0,3630.0,3641.3,0
2025-09-11,3641.3,3646.92,3614.09,3634.06,0
2025-09-12,3634.01,3655.89,3630.53,3642.08,0
2025-09-13,3642.08,3646.34,3625.47,3632.77,0
2025-09-15,3652.38,3692.79,3635.07,3683.47,0
2025-09-16,3683.47,3712.69,3677.61,3696.78,0
2025-09-17,3696.78,3708.49,3657.59,3664.37,0
2025-09-18,3664.38,3674.27,3638.08,3647.61,0
2025-09-19,3647.62,3690.09,3641.01,3688.92,0
2025-09-20,3688.92,3693.04,3683.34,3691.44,0
2025-09-22,3689.63,3762.62,3686.83,3760.41,0
2025-09-23,3760.42,3800.0,3748.89,3777.03,0
2025-09-24,3777.11,3788.79,3720.78,3747.29,0
2025-09-25,3747.29,3773.55,3730.0,3757.69,0
2025-09-26,3757.68,3799.0,3742.04,3771.5,0
2025-09-27,3771.51,3784.69,3764.5,3783.35,0
2025-09-29,3770.0,3844.84,3768.57,3842.19,0
2025-09-30,3842.19,3880.69,3806.92,3869.18,0
2025-10-01,3869.18,3904.58,3863.63,3875.49,0
2025-10-02,3875.48,3899.0,3823.79,3861.5,0
2025-10-03,3861.5,3889.99,3843.79,3885.26,0
2025-10-04,3885.25,3900.72,3842.52,3893.47,0
2025-10-06,3891.88,3979.0,3890.53,3970.74,0
2025-10-07,3970.74,4000.0,3953.39,3994.92,0
2025-10-08,3994.92,4079.48,3992.98,4056.45,0
2025-10-09,4056.45,4072.0,3961.94,3989.18,0
2025-10-10,3989.19,4033.0,3957.29,4024.44,0
2025-10-11,4024.43,4030.95,3600.0,3997.52,0
2025-10-13,4002.99,4124.06,4002.63,4124.0,0
2025-10-14,4124.0,4200.0,4103.38,4155.65,0
2025-10-15,4155.53,4240.29,4151.67,4230.95,0
2025-10-16,4230.95,4336.65,4219.82,4333.33,0
2025-10-17,4333.07,4530.0,4192.55,4236.8,0
2025-10-18,4236.81,4273.28,4188.0,4237.99,0
2025-10-20,4231.0,4401.66,4214.16,4388.43,0
2025-10-21,4388.43,4390.74,4094.72,4114.57,0
2025-10-22,4114.09,4167.79,4020.0,4101.48,0
2025-10-23,4101.33,4157.46,4057.14,4117.0,0
2025-10-24,4117.36,4139.62,4045.25,4097.3,0
2025-10-25,4097.3,4127.13,4090.99,4111.21,0
2025-10-27,4098.77,4099.51,3951.0,3980.31,0
